EF:PENAL:GERARDO JAVIER ACOSTA BARRERA:HOMBRE:8:2
PEJ:PENAL:JAVIER RODOLFO ACOSTA MENDOZA:HOMBRE:8:2
PEJ:PENAL:JESUS MANUEL ACOSTA SAENZ:HOMBRE:8:2
EF:PENAL:RUBÉN AGUILAR GIL:HOMBRE:8:2
PEJ:PENAL:CARLOS ROBERTO AREVALO SALVADOR:HOMBRE:8:2
PE:PENAL:CLAUDIA CRISTINA CAMPOS NUÑEZ:MUJER:8:2
EF:PENAL:JOSE LUIS CHACON RODRIGUEZ:HOMBRE:8:2
PEJ:PENAL:JESUS CHAVEZ SAENZ:HOMBRE:8:2
EF:PENAL:CARLOS DAVALOS MEDINA:HOMBRE:8:2
PJ:PENAL:FUAD GEORGES FARAH VALDEZ:HOMBRE:8:2
PEJ:PENAL:JESUS DAVID FLORES CARRETE:HOMBRE:8:2
PEJ:PENAL:HORTENCIA GARCIA RODRIGUEZ:MUJER:8:2
EF:PENAL:ROGELIO GUZMAN HOLGUIN:HOMBRE:8:2
PEJ:PENAL:CARLOS MARIO JIMENEZ HOLGUIN:HOMBRE:8:2
PEJ:PENAL:CLAUDIA LUCIA JUAREZ PORRAS:MUJER:8:2
EF:PENAL:JOSE CAIN LARA DAVILA:HOMBRE:8:2
PEJ:PENAL:ADELA LOZOYA GUTIERREZ:MUJER:8:2
PEJ:PENAL:MYRELLE ORALIA LOZOYA MOLINA:MUJER:8:2
PEJ:PENAL:MARIA ELIZABETH MACIAS MARQUEZ:MUJER:8:2
PEJ:PENAL:LAURA IRENE MORENO ESPINOZA:MUJER:8:2
PE:PENAL:LAURA GUADALUPE OCON BAILON:MUJER:8:2
PEJ:PENAL:ULISES ENRIQUE PACHECO RODRIGUEZ:HOMBRE:8:2
EF:PENAL:JORGE ABRAHAM RAMIREZ ALVIDREZ:HOMBRE:8:2
PEJ:PENAL:NANCY ELIZABETH SANCHEZ CORONA:MUJER:8:2
PEJ:PENAL:DANIELA ARALI TORRES PORRAS:MUJER:8:2
PJ:PENAL:CLAUDIA CONY VELARDE CARRILLO:MUJER:8:2
PEJ:PENAL:ADALBERTO VENCES BACA:HOMBRE:8:2
EF:PENAL:ILIAN YASEL IRADIEL VILLANUEVA PEREZ:MUJER:8:2
PEJ:CIVIL:YAMIL ATHIE GÓMEZ:HOMBRE:8:2
PEJ:CIVIL:KARINA IVONNE CASTAÑEDA CARREÓN:MUJER:8:2
PJ:CIVIL:JESUS ANTONIO CAZARES OROZCO:HOMBRE:8:2
PEJ:CIVIL:EMMANUEL CHAVEZ CHAVEZ:HOMBRE:8:2
PEJ:CIVIL:ERWIN ENRIQUE EPAMINONDAS CUERVO ZARAGOZA:HOMBRE:8:2
PEJ:CIVIL:DIANA MARGARITA FÉLIX SIERRA:MUJER:8:2
EF:CIVIL:JOSE ALFREDO FIERRO BELTRAN:HOMBRE:8:2
PEJ:CIVIL:MARCOS FLORES RODRIGUEZ:HOMBRE:8:2
PEJ:CIVIL:ROBERTO ANDRÉS FUENTES RASCÓN:HOMBRE:8:2
PEJ:CIVIL:MARTÍN FERNANDO GARCÍA VÁZQUEZ:HOMBRE:8:2
PEJ:CIVIL:EDUARDO ZACARÍAS GÓMEZ BUSTAMANTE:HOMBRE:8:2
PEJ:CIVIL:MARTHA PAOLA GÓMEZ HERNÁNDEZ:MUJER:8:2
PEJ:CIVIL:MAGDA LIZETH HERNANDEZ VALENZUELA:MUJER:8:2
PEJ:CIVIL:DEBBIE LEON CHACON:MUJER:8:2
PEJ:CIVIL:CARMEN ROCÍO MÁRQUEZ PADILLA:MUJER:8:2
EF:CIVIL:GLORIA ANGELICA MENDOZA BELTRAN:MUJER:8:2
EF:CIVIL:JULIO CESAR MERINO ENRIQUEZ:HOMBRE:8:2
PEJ:CIVIL:VICTOR MANUEL MOLINA LEYVA:HOMBRE:8:2
PEJ:CIVIL:SILVIA MARÍA MORENO DURÁN:MUJER:8:2
PEJ:CIVIL:JORGE NEAVES CHACÓN:HOMBRE:8:2
PEJ:CIVIL:NYDIA ITZANAMI NEVAREZ JAQUEZ:MUJER:8:2
PEJ:CIVIL:ERICK ALBERTO PARADA DÍAZ:HOMBRE:8:2
PEJ:CIVIL:ANDRES ALFREDO PEREZ HOWLET:HOMBRE:8:2
PEJ:CIVIL:ADRIAN PRIETO SAENZ:HOMBRE:8:2
PEJ:CIVIL:SAÚL EDUARDO RODRÍGUEZ CAMACHO:HOMBRE:8:2
PEJ:CIVIL:ERIKA RUIZ GONZALEZ:MUJER:8:2
PEJ:CIVIL:ELVIA MARIELA SALVADOR NAVEJAS:MUJER:8:2
PEJ:CIVIL:BERENYS SÁNCHEZ LOYA:MUJER:8:2
EF:CIVIL:CRISTINA GUADALUPE SANDOVAL HOLGUIN:MUJER:8:2
PEJ:CIVIL:GABRIEL HUMBERTO SEPULVEDA RAMIREZ:HOMBRE:8:2
PEJ:CIVIL:JACOBO ADRIAN TERRAZAS TRENTI:HOMBRE:8:2
EF:CIVIL:NYRIA JANETTE TREVIZO RIVERA:MUJER:8:2
PEJ:FAMILIAR:RAFAEL ALEJANDRO CORRAL VALVERDE:HOMBRE:8:2
PE:FAMILIAR:MARCELA HERRERA SANDOVAL:MUJER:8:2
PEJ:FAMILIAR:FABIOLA LOPEZ ERIVES:MUJER:8:2
PEJ:FAMILIAR:JUAN CARLOS MACEDO LARA:HOMBRE:8:2
PJ:FAMILIAR:ALBERTO DOMINGO MALDONADO MARTINEZ:HOMBRE:8:2
PEJ:FAMILIAR:GUILLERMO IVÁN MORALES ORONA:HOMBRE:8:2
PE:FAMILIAR:ADALBERTO MORENO PÉREZ:HOMBRE:8:2
PEJ:FAMILIAR:SARA JULIETA MUÑOZ ANDRADE:MUJER:8:2
PEJ:FAMILIAR:MAHLI ANGELICA OLIVAS CHACON:MUJER:8:2
PEJ:FAMILIAR:MARIBEL PEINADO MACHUCA:MUJER:8:2
PEJ:FAMILIAR:NORMA INES RAMOS CHAVIRA:MUJER:8:2
PEJ:FAMILIAR:JAVIER ALBERTO TORRES PEREZ:HOMBRE:8:2
